"@timestamp","user.name",text,"user.location","user.screen_name",source,"user.profile_image_url"
"February 18th 2019, 19:13:17.000","Tarachand Sharma","RT @RajuMamodan: एक सैनिक ने क्या खूब कहा है.
किसी गजरे की #खुशबु को महकता छोड़ आया हूँ,
मेरी नन्ही सी चिड़िया को चहकता छोड़ आया हूँ,
मुझे…","उत्तर प्रदेश, भारत",Taracha66,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/1047513430280814592/GgbgIT5e_normal.jpg"
"February 18th 2019, 19:13:16.000","Sid k","Day 5. Nothing substantial. No financial blockade, not a peep on IWT. #PulwamaAttack",,ksiddus,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","http://pbs.twimg.com/profile_images/982251995804266497/5kQzyOJ3_normal.jpg"
"February 18th 2019, 19:13:15.000","feku india","RT @NehalAhAnsari6: साध्वी प्राची नेPMमोदी से 'गोधरा कांड' की तर्ज़ पर पाकिस्तान को सबक़ सिखाने की अपील की,@LambaAlka बोलीं- साबित हो गया…",Pune,jhumlebaji,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/1060514968104288256/cfve7znb_normal.jpg"
"February 18th 2019, 19:13:14.000",sanjay,"RT @SandeepManral7: देश का हर जवान बहुत ख़ास है,
है लड़ता जब तक श्वास है,
परिवारों के सुखों का कारावास है,
शहीदों की माओं का अनंत उपवास है,…",,sanjay01274792,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"February 18th 2019, 19:13:13.000","🇮🇳MjayVetaran🇮🇳","RT @Sootradhar: Pharma Giant Zydus Cadilla suspends employee after facebook book posts praising the suicide bomb attacks on CRPF convoy are…","Bengaluru.","ex_mjay","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/1019873309389799425/ZP7BaprC_normal.jpg"
"February 18th 2019, 19:13:12.000","जाट 🛡️","#PulwamaAttack #Pulwama #PulwamaTerrorAttack #","Antigua and Barbuda",jdabas,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/858969551547109377/muoOiEeD_normal.jpg"
"February 18th 2019, 19:13:12.000","मनोज गोयल","RT @rajivtuli69: तुम जैश-ए-मोहम्मद की शांतिदूत...
मैं RSS का आतंकवादी प्रिये...
तुम्हारे पास अमन का RDX...
मेरे पास दहशत की लाठी प्रिये!!
#…",,ManojkGoyal,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/800320236461457408/Y-Ls3BH0_normal.jpg"
"February 18th 2019, 19:13:11.000","Empress👑","RT @irajulpandya: #TimeForRevenge
J&amp;K: सेना ने पुलवामा हमले का पहला बदला लिया, जैश के टॉप कमांडर अब्दुल गाजी रशीद को ढेर किया.  #PulwamaAtt…","In your ❤ or On your Mind ;-)","Mpress_2","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/995649288867799040/6JpHMfYC_normal.jpg"
"February 18th 2019, 19:13:11.000","Bhavesh Rajput","RT @ibhagwa_n: कांग्रेस पार्टी कर रही है आतंकवादियों के फंडिंग  कांग्रेसी कारपोरेटर के कारनामे

कांग्रेस की 4 करोड़ आतंकवादी फंड में पहुंचा…",Kansari,NandvanaBhavesh,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/968470331794116609/vqSf1eX-_normal.jpg"
"February 18th 2019, 19:13:11.000","Adhish kumar Sinha","RT @SushantBSinha: State Bank of india decides to waive off outstanding loans of 23 CRPF jawans.
#PulwamaAttack",,"adhish_sinha","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/1096418121622073345/gjbzUfW4_normal.jpg"
"February 18th 2019, 19:13:10.000","Afham Shah","RT @javerias: #Indian media’s comedy of errors on #PulwamaAttack continues as uniform of #Brazilian guard &amp; image photoshopped to portray m…",,"afham_shah","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/1069241914275389442/JZXeLAw0_normal.jpg"
